%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1616790898126369607,225,1616790898067856789,map,-2.75719687795,-0.097601933199,0.0,0.0,0.0,0.998372875965,0.0570228071759,0.0712466169579,-0.00327444398329,0.0,0.0,0.0,0.0,-0.00327444398329,0.00904397566664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348277739631
1616790898590328526,226,1616790898534450531,map,-3.00238074527,-0.0925700086815,0.0,0.0,0.0,-0.999711987922,0.0239987750904,0.0705014681833,-0.00353513676387,0.0,0.0,0.0,0.0,-0.00353513676387,0.00720550421141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329740428949
1616790899391376020,227,1616790899335298777,map,-3.34140129295,-0.158309785222,0.0,0.0,0.0,-0.999605292907,0.0280937429314,0.0859583736676,0.000674360124445,0.0,0.0,0.0,0.0,0.000674360124445,0.00863149517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474569328676
1616790899993753937,228,1616790899937282085,map,-3.66906388571,-0.127072267316,0.0,0.0,0.0,0.984770244046,0.173860767404,0.0928999510965,-0.00169677553044,0.0,0.0,0.0,0.0,-0.00169677553044,0.0102901750989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037475020933
1616790900930546872,229,1616790900868434668,map,-3.70246770808,-0.0408042663116,0.0,0.0,0.0,0.905803134615,0.423698809677,0.0921642862159,-0.0059212131837,0.0,0.0,0.0,0.0,-0.0059212131837,0.0114686233837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319435123911
1616790903726205315,230,1616790903667733192,map,-3.70330993427,-0.0466083487185,0.0,0.0,0.0,0.98448454837,0.175471291158,0.0904714647212,-0.0114558477907,0.0,0.0,0.0,0.0,-0.0114558477907,0.0136325354194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272796476346
1616790904327135070,231,1616790904267751455,map,-3.67763236726,-0.0555607127009,0.0,0.0,0.0,-0.994607066299,0.103714915361,0.0915196591509,-0.0113091784801,0.0,0.0,0.0,0.0,-0.0113091784801,0.0115924179321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249702480208
1616790904855999526,232,1616790904800677776,map,-3.66031544465,-0.0663988192033,0.0,0.0,0.0,-0.934058906211,0.357118971391,0.0781526687723,-0.00456699304495,0.0,0.0,0.0,0.0,-0.00456699304495,0.0127618945441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218636273595
1616790905597624532,233,1616790905534788847,map,-3.69758498324,-0.075008817928,0.0,0.0,0.0,-0.800653408218,0.599127799312,0.0561668711214,0.00416025107351,0.0,0.0,0.0,0.0,0.00416025107351,0.020055641258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02285389394
1616790908790399583,234,1616790908734154224,map,-3.76031210835,-0.361782848644,0.0,0.0,0.0,-0.744124074708,0.668041436919,0.0322626840672,0.0042339481984,0.0,0.0,0.0,0.0,0.0042339481984,0.0359486111273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319790375954
